ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",14,"Public Administration",2017,"2017",52679,11946,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",19531,24974,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2017,"2017",33750,23957,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2017,"2017",27279,11760,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2017,"2017",21518,36689,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2017,"2017",8948,2458,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2017,"2017",12393,11522,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2017,"2017",21089,15254,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",33295,28796,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",17387,12631,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",18859,3632,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",7906,1469,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2017,"2017",13393,11501,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2017,"2017",38393,26943,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",15556,8500,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2016,"2016",25230,11063,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2016,"2016",37153,9098,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2016,"2016",40169,18352,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2016,"2016",12127,4470,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2016,"2016",33563,19868,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2016,"2016",38077,31267,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",31953,8821,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",35012,16421,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",26793,6404,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",10311,2156,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2016,"2016",19805,20444,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2016,"2016",49167,10429,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",15793,13773,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2016,"2016",27000,13514,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2016,"2016",26971,13126,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2016,"2016",20179,26534,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2016,"2016",9163,1781,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2016,"2016",32969,35161,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2016,"2016",20893,3204,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",24053,14362,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",17048,2629,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",20605,2601,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",6234,1079,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2016,"2016",11850,9834,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2016,"2016",37313,18938,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",16722,8159,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2015,"2015",24394,10745,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2015,"2015",31869,5333,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2015,"2015",41795,7937,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2015,"2015",11944,3944,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2015,"2015",43041,18181,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2015,"2015",26875,30460,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",31883,4218,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",29250,15969,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",26138,5263,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",10194,1709,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2015,"2015",24900,23896,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2015,"2015",47409,14015,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",4494,16320,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2015,"2015",25186,7583,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2015,"2015",32691,12720,"Ames, IA","16000US1901855","ames-ia"
1,"Female",4,"Wholesale Trade",2015,"2015",20625,37320,"Ames, IA","16000US1901855","ames-ia"
1,"Female",5,"Retail Trade",2015,"2015",9299,1704,"Ames, IA","16000US1901855","ames-ia"
1,"Female",6,"Transportation & Warehousing, & Utilities",2015,"2015",33500,27512,"Ames, IA","16000US1901855","ames-ia"
1,"Female",7,"Information",2015,"2015",21115,3711,"Ames, IA","16000US1901855","ames-ia"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",32583,13952,"Ames, IA","16000US1901855","ames-ia"
